Team,Payroll Type,Avg. Amount of this Payroll Classification,Avg. Total Payroll Allocation,Avg. Wins
OAK,Retained (Money Spent on Players Traded or Released),14304062.5,"$65,646,844.00",
PIT,Retained (Money Spent on Players Traded or Released),16551271.0,"$67,315,651.25",
BAL,Retained (Money Spent on Players Traded or Released),18203973.5,"$66,338,047.75",
CLE,Retained (Money Spent on Players Traded or Released),17459149.75,"$77,821,058.75",
TB,Retained (Money Spent on Players Traded or Released),13826138.0,"$82,981,852.25",
MIA,Retained (Money Spent on Players Traded or Released),27399652.5,"$87,142,179.00",
KC,Retained (Money Spent on Players Traded or Released),21750972.25,"$100,593,119.00",
CIN,Retained (Money Spent on Players Traded or Released),23457871.75,"$109,458,260.00",
DET,Retained (Money Spent on Players Traded or Released),18852907.75,"$108,779,415.25",
MIL,Retained (Money Spent on Players Traded or Released),14139127.0,"$114,945,866.00",
SEA,Retained (Money Spent on Players Traded or Released),18806112.5,"$116,836,513.75",
ARI,Retained (Money Spent on Players Traded or Released),25102341.5,"$116,627,754.25",
WSH,Retained (Money Spent on Players Traded or Released),26201329.0,"$117,102,923.75",
MIN,Retained (Money Spent on Players Traded or Released),11148437.0,"$139,215,297.25",
COL,Retained (Money Spent on Players Traded or Released),22037908.25,"$143,337,189.00",
STL,Retained (Money Spent on Players Traded or Released),16978303.0,"$159,143,526.50",
CHW,Retained (Money Spent on Players Traded or Released),30277886.5,"$159,743,383.50",
CHC,Retained (Money Spent on Players Traded or Released),40935093.0,"$178,398,630.00",
SF,Retained (Money Spent on Players Traded or Released),23059864.5,"$180,568,602.00",
TEX,Retained (Money Spent on Players Traded or Released),25614497.25,"$180,676,106.75",
LAA,Retained (Money Spent on Players Traded or Released),35872968.25,"$190,137,908.50",
TOR,Retained (Money Spent on Players Traded or Released),25165573.25,"$190,043,980.75",
ATL,Retained (Money Spent on Players Traded or Released),17285866.25,"$192,413,918.75",
BOS,Retained (Money Spent on Players Traded or Released),36065163.0,"$191,998,610.00",
SD,Retained (Money Spent on Players Traded or Released),18136118.25,"$207,146,165.25",
HOU,Retained (Money Spent on Players Traded or Released),10830243.75,"$217,598,239.25",
PHI,Retained (Money Spent on Players Traded or Released),15862945.75,"$231,679,055.00",
LAD,Retained (Money Spent on Players Traded or Released),18498143.75,"$254,060,807.25",
NYY,Retained (Money Spent on Players Traded or Released),19818004.25,"$260,873,492.50",
NYM,Retained (Money Spent on Players Traded or Released),70896012.0,"$280,488,592.75",
OAK,Injured,15949939.0,"$65,646,844.00",
PIT,Injured,13320960.75,"$67,315,651.25",
BAL,Injured,6107631.25,"$66,338,047.75",
CLE,Injured,6268223.25,"$77,821,058.75",
TB,Injured,20173013.75,"$82,981,852.25",
MIA,Injured,20446345.75,"$87,142,179.00",
KC,Injured,13418277.0,"$100,593,119.00",
CIN,Injured,32170520.0,"$109,458,260.00",
DET,Injured,18364295.75,"$108,779,415.25",
MIL,Injured,13807784.75,"$114,945,866.00",
SEA,Injured,20595118.0,"$116,836,513.75",
ARI,Injured,12179452.75,"$116,627,754.25",
WSH,Injured,33638157.0,"$117,102,923.75",
MIN,Injured,40007940.0,"$139,215,297.25",
COL,Injured,41976711.0,"$143,337,189.00",
STL,Injured,29008359.25,"$159,143,526.50",
CHW,Injured,17300788.0,"$159,743,383.50",
CHC,Injured,26370933.75,"$178,398,630.00",
SF,Injured,50721435.25,"$180,568,602.00",
TEX,Injured,46926074.25,"$180,676,106.75",
LAA,Injured,90978297.0,"$190,137,908.50",
TOR,Injured,16964939.25,"$190,043,980.75",
ATL,Injured,26352506.25,"$192,413,918.75",
BOS,Injured,39540680.25,"$191,998,610.00",
SD,Injured,35348699.5,"$207,146,165.25",
HOU,Injured,30810903.0,"$217,598,239.25",
PHI,Injured,11848850.0,"$231,679,055.00",
LAD,Injured,34614292.0,"$254,060,807.25",
NYY,Injured,37433253.5,"$260,873,492.50",
NYM,Injured,32629380.25,"$280,488,592.75",
OAK,Buried (Money spent on players with major league contracts on minor league rosters),3445761.5,"$65,646,844.00",
PIT,Buried (Money spent on players with major league contracts on minor league rosters),2896765.75,"$67,315,651.25",
BAL,Buried (Money spent on players with major league contracts on minor league rosters),2406163.5,"$66,338,047.75",
CLE,Buried (Money spent on players with major league contracts on minor league rosters),4387329.25,"$77,821,058.75",
TB,Buried (Money spent on players with major league contracts on minor league rosters),1356864.75,"$82,981,852.25",
MIA,Buried (Money spent on players with major league contracts on minor league rosters),2395651.75,"$87,142,179.00",
